,Year,Draw,Country,Artist,Song,Language,Place,Points
14,1998,15,Romania,Mălina Olinescu,Eu cred,Romanian,22,6
15,1998,16,United Kingdom,Imaani,Where Are You?,English,2,166
16,1998,17,Cyprus,Michael Hajiyanni,Genesis (Γένεσις),Greek,11,37
17,1998,18,Netherlands,Edsilia,Hemel en aarde,Dutch,4,150
18,1998,19,Sweden,Jill Johnson,Kärleken är,Swedish,10,53
19,1998,20,Belgium,Mélanie Cohl,Dis oui,French,6,122
20,1998,21,Finland,Edea,Aava,Finnish,15,22
21,1998,22,Norway,Lars A. Fredriksen,Alltid sommer,Norwegian,8,79
22,1998,23,Estonia,Koit Toome,Mere lapsed,Estonian,12,36
23,1998,24,Turkey,Tüzmen,Unutamazsın,Turkish,14,25
24,1998,25,Macedonia,Vlado Janevski,"Ne zori, zoro (Не зори, зоро)",Macedonian,19,16
0,1999,01,Lithuania,Aistė,Strazdas,Samogitian,20,13
1,1999,02,Belgium,Vanessa Chinitor,Like the Wind,English,12,38
2,1999,03,Spain,Lydia,No quiero escuchar,Spanish,23,1
3,1999,04,Croatia,Doris Dragović,Marija Magdalena,Croatian,4,118
4,1999,05,United Kingdom,Precious,Say It Again,English,12,38
5,1999,06,Slovenia,Darja Švajger,For a Thousand Years,English,11,50
6,1999,07,Turkey,Tuba Önal and Grup Mistik,Dön Artık,Turkish,16,21
7,1999,08,Norway,Stig Van Eijk,Living My Life Without You,English,14,35
8,1999,09,Denmark,Trine Jepsen and Michael Teschl,This Time I Mean It,English,8,71
9,1999,10,France,Nayah,Je veux donner ma voix,French,19,14
10,1999,11,Netherlands,Marlayne,One Good Reason,English,8,71
11,1999,12,Poland,Mietek Szcześniak,Przytul mnie mocno,Polish,18,17
12,1999,13,Iceland,Selma,All Out of Luck,English,2,146
13,1999,14,Cyprus,Marlain,Tha'nai erotas (Θα'ναι έρωτας),Greek,22,2
14,1999,15,Sweden,Charlotte Nilsson,Take Me to Your Heaven,English,1,163
15,1999,16,Portugal,Rui Bandeira,Como tudo começou,Portuguese,21,12
16,1999,17,Ireland,The Mullans,When You Need Me,English,17,18
17,1999,18,Austria,Bobbie Singer,Reflection,English,10,65
18,1999,19,Israel,Eden,Yom Huledet (Happy Birthday) (יום הולדת),"English, Hebrew",5,93
19,1999,20,Malta,Times Three,Believe 'n Peace,English,15,32
20,1999,21,Germany,Sürpriz,Reise nach Jerusalem – Kudüs'e Seyahat,"German, Turkish, English",3,140
21,1999,22,Bosnia and Herzegovina,Dino and Béatrice,Putnici,"Bosnian, French",7,86
22,1999,23,Estonia,Evelin Samuel and Camille,Diamond of Night,English,6,90
0,2000,01,Israel,PingPong,Sameach (שמח),Hebrew,22,7
1,2000,02,Netherlands,Linda Wagenmakers,No Goodbyes,English,13,40
2,2000,03,United Kingdom,Nicki French,Don't Play That Song Again,English,16,28
3,2000,04,Estonia,Ines,Once in a Lifetime,English,4,98
4,2000,05,France,Sofia Mestari,On aura le ciel,French,23,5
5,2000,06,Romania,Taxi,The Moon,English,17,25
6,2000,07,Malta,Claudette Pace,Desire,English,8,73
7,2000,08,Norway,Charmed,My Heart Goes Boom,English,11,57
8,2000,09,Russia,Alsou,Solo,English,2,155
9,2000,10,Belgium,Nathalie Sorce,Envie de vivre,French,24,2
10,2000,11,Cyprus,Voice,Nomiza (Νόμιζα),"Greek, Italian",21,8
11,2000,12,Iceland,August and Telma,Tell Me!,English,12,45
12,2000,13,Spain,Serafín Zubiri,Colgado de un sueño,Spanish,18,18
13,2000,14,Denmark,Olsen Brothers,Fly on the Wings of Love,English,1,195
14,2000,15,Germany,Stefan Raab,Wadde hadde dudde da?,"German, English",5,96
15,2000,16,Switzerland,Jane Bogaert,La vita cos'è?,Italian,20,14
16,2000,17,Croatia,Goran Karan,Kad zaspu anđeli,Croatian,9,70
17,2000,18,Sweden,Roger Pontare,When Spirits Are Calling My Name,English,7,88
18,2000,19,Macedonia,XXL,100% te ljubam (100% те љубам),"Macedonian, English",15,29
19,2000,20,Finland,Nina Åström,A Little Bit,English,18,18
20,2000,21,Latvia,Brainstorm,My Star,English,3,136
21,2000,22,Turkey,Pınar Ayhan and the SOS,Yorgunum Anla,"Turkish, English",10,59
22,2000,23,Ireland,Eamonn Toal,Millennium of Love,English,6,92
23,2000,24,Austria,The Rounder Girls,All to You,English,14,34
0,2001,01,Netherlands,Michelle,Out on My Own,English,18,16
1,2001,02,Iceland,Two Tricky,Angel,English,22,3
2,2001,03,Bosnia and Herzegovina,Nino,Hano,"Bosnian, English",14,29
3,2001,04,Norway,Haldor Lægreid,On My Own,English,22,3
4,2001,05,Israel,Tal Sondak,Ein Davar (אין דבר),Hebrew,16,25
5,2001,06,Russia,Mumiy Troll,Lady Alpine Blue,English,12,37
6,2001,07,Sweden,Friends,Listen to Your Heartbeat,English,5,100
7,2001,08,Lithuania,Skamp,You Got Style,"English, Lithuanian",13,35
8,2001,09,Latvia,Arnis Mednis,Too Much,English,18,16
9,2001,10,Croatia,Vanna,Strings of My Heart,English,10,42
10,2001,11,Portugal,MTM,Só sei ser feliz assim,Portuguese,17,18
11,2001,12,Ireland,Gary O'Shaughnessy,Without Your Love,English,21,6
12,2001,13,Spain,David Civera,Dile que la quiero,Spanish,6,76
13,2001,14,France,Natasha St-Pier,Je n'ai que mon âme,"French, English",4,142
14,2001,15,Turkey,Sedat Yüce,Sevgiliye Son,"Turkish, English",11,41
15,2001,16,United Kingdom,Lindsay Dracass,No Dream Impossible,English,15,28
16,2001,17,Slovenia,Nuša Derenda,Energy,English,7,70
17,2001,18,Poland,Piasek,2 Long,English,20,11
18,2001,19,Germany,Michelle,Wer Liebe lebt,"German, English",8,66
19,2001,20,Estonia,"Tanel Padar, Dave Benton and 2XL",Everybody,English,1,198
20,2001,21,Malta,Fabrizio Faniello,Another Summer Night,English,9,48
21,2001,22,Greece,Antique,Die for You,"Greek, English",3,147
22,2001,23,Denmark,Rollo and King,Never Ever Let You Go,English,2,177
0,2002,01,Cyprus,One,Gimme,English,6,85
1,2002,02,United Kingdom,Jessica Garlick,Come Back,English,3,111
2,2002,03,Austria,Manuel Ortega,Say a Word,English,18,26
3,2002,04,Greece,Michalis Rakintzis,S.A.G.A.P.O.,English,17,27
4,2002,05,Spain,Rosa,Europe's Living a Celebration,Spanish,7,81
5,2002,06,Croatia,Vesna Pisarović,Everything I Want,English,11,44
6,2002,07,Russia,Prime Minister,Northern Girl,English,10,55
7,2002,08,Estonia,Sahlene,Runaway,English,3,111
8,2002,09,Macedonia,Karolina,Od nas zavisi (Од нас зависи),Macedonian,19,25
9,2002,10,Israel,Sarit Hadad,Light a Candle,"Hebrew, English",12,37
10,2002,11,Switzerland,Francine Jordi,Dans le jardin de mon âme,French,22,15
11,2002,12,Sweden,Afro-dite,Never Let It Go,English,8,72
12,2002,13,Finland,Laura,Addicted to You,English,20,24
13,2002,14,Denmark,Malene Mortensen,Tell Me Who You Are,English,24,7
14,2002,15,Bosnia and Herzegovina,Maja,Na jastuku za dvoje (На јастуку за двоје),"Serbian, English",13,33
15,2002,16,Belgium,Sergio and the Ladies,Sister,English,13,33
16,2002,17,France,Sandrine François,Il faut du temps,French,5,104
17,2002,18,Germany,Corinna May,I Can't Live Without Music,English,21,17
18,2002,19,Turkey,Buket Bengisu and Group Safir,Leylaklar Soldu Kalbinde,"Turkish, English",16,29
19,2002,20,Malta,Ira Losco,7th Wonder,English,2,164
20,2002,21,Romania,Monica Anghel and Marcel Pavel,Tell Me Why,English,9,71
21,2002,22,Slovenia,Sestre,Samo ljubezen,Slovene,13,33
22,2002,23,Latvia,Marie N,I Wanna,English,1,176
23,2002,24,Lithuania,Aivaras,Happy You,English,23,12
0,2003,01,Iceland,Birgitta,Open Your Heart,English,8,81
1,2003,02,Austria,Alf Poier,Weil der Mensch zählt,German,6,101
2,2003,03,Ireland,Mickey Harte,We've Got the World,English,11,53
3,2003,04,Turkey,Sertab Erener,Everyway That I Can,English,1,167
4,2003,05,Malta,Lynn Chircop,To Dream Again,English,25,4
5,2003,06,Bosnia and Herzegovina,Mija Martina,Ne brini,"Croatian, English",16,27
6,2003,07,Portugal,Rita Guerra,Deixa-me sonhar,"Portuguese, English",22,13
7,2003,08,Croatia,Claudia Beni,Više nisam tvoja,"Croatian, English",15,29
8,2003,09,Cyprus,Stelios Constantas,Feeling Alive,English,20,15
9,2003,10,Germany,Lou,Let's Get Happy,English,11,53
10,2003,11,Russia,t.A.T.u.,"Ne ver', ne boysia (Не верь, не бойся)",Russian,3,164
11,2003,12,Spain,Beth,Dime,Spanish,8,81
12,2003,13,Israel,Lior Narkis,Words for Love,Hebrew,19,17
13,2003,14,Netherlands,Esther Hart,One More Night,English,13,45
14,2003,15,United Kingdom,Jemini,Cry Baby,English,26,0
15,2003,16,Ukraine,Olexandr,Hasta la vista,English,14,30
16,2003,17,Greece,Mando,Never Let You Go,English,17,25
17,2003,18,Norway,Jostein Hasselgård,I'm Not Afraid to Move On,English,4,123
18,2003,19,France,Louisa Baïleche,Monts et merveilles,French,18,19
19,2003,20,Poland,Ich Troje,Keine Grenzen – Żadnych granic,"German, Polish, Russian",7,90
20,2003,21,Latvia,F.L.Y.,Hello from Mars,English,24,5
